LA_RSPV_CAF_150115;3;0
Simulation_01_200428_001_001;4;0
Simulation_01_200316_001_  5;4;0
Simulation_01_191001_001_002;2;1
Simulation_01_200428_001_005;4;0
Simulation_01_190717_001_001;2;1
Simulation_01_200212_001_  7;4;0
Simulation_01_191001_001_007;2;1
LA_RSPV_150113;3;0
Simulation_01_210119_001_001;0;0
Simulation_01_210205_001_003;4;0
LA_PLAW_140612;1;0
Simulation_01_190717_001_004;2;1
Simulation_01_201223_001_002;1;0
Simulation_01_200212_001_  1;4;0
LA_LSPV_150203;3;0
Simulation_01_190619_001_003;2;1
Simulation_01_200428_001_003;4;0
Simulation_01_190619_001_004;2;1
Simulation_01_190717_001_003;2;1
Simulation_01_190502_001_006;2;1
LA_LSPV_150113;3;0
Simulation_01_190502_001_004;2;1
RA_RAFW_140807;3;0
Simulation_01_190717_001_002;2;1
Simulation_01_200316_001_  3;4;0
Simulation_01_200316_001_  4;2;0
RA_RAA_141230;3;0
Sinusal_150629;4;0
RA_RAA_141216;1;0
Simulation_01_200428_001_002;2;1
Simulation_01_210210_001_001;5;0
Simulation_01_210208_001_002;0;0
Simulation_01_190619_001_001;2;1
Simulation_01_200212_001_  9;4;0
Simulation_01_200316_001_  1;4;0
Simulation_01_200316_001_  8;2;0
Simulation_01_200428_001_004;2;1
Simulation_01_200212_001_  8;2;1
Simulation_01_200212_001_ 10;2;1
Simulation_01_191001_001_001;2;1
Simulation_01_200428_001_007;4;0
Simulation_01_200428_001_009;4;0
Simulation_01_200428_001_010;2;0
Simulation_01_190619_001_002;2;1
TwoRotors_181219;2;0
Simulation_01_191001_001_005;2;1
Simulation_01_190502_001_005;2;1
Simulation_01_200212_001_  6;2;0
LA_PLAW_140711_arm;2;0
Simulation_01_200428_001_008;2;0
RA_RAFW_SAF_140730;1;1
Simulation_01_200212_001_  4;2;0
Simulation_01_190502_001_003;2;1
Simulation_01_200428_001_006;2;0
Simulation_01_200212_001_  5;4;0
Simulation_01_210209_001_003;4;0
LA_RIPV_150121;3;0
Simulation_01_200316_001_  2;2;0
Simulation_01_200316_001_  6;2;0
Simulation_01_200316_001_ 10;2;0
LA_LIPV_150119;3;0
Simulation_01_200316_001_  9;4;0
Simulation_01_210209_001_001;5;0
